sum.taxonomy	X18S_Yell.July18.Site1J.S99	X18S_Yell.July18.Site1L.S101	X18S_Yell.July18.Site1U.S114	X18S_Yell.July18.Site1a.S83	X18S_Yell.July18.Site1b.S84	X18S_Yell.July18.Site1bb.S139	X18S_Yell.July18.Site1c.S85	X18S_Yell.July18.Site1cc.S140	X18S_Yell.July18.Site1d.S86	X18S_Yell.July18.Site1dd.S141	X18S_Yell.July18.Site1e.S91	X18S_Yell.July18.Site1f.S92	X18S_Yell.July18.Site1g.S93	X18S_Yell.July18.Site1h.S94	X18S_Yell.July18.Site1k.S100	X18S_Yell.July18.Site1m.S102	X18S_Yell.July18.Site1n.S103	X18S_Yell.July18.Site1o.S104	X18S_Yell.July18.Site1p.S105	X18S_Yell.July18.Site1q.S106	X18S_Yell.July18.Site1r.S111	X18S_Yell.July18.Site1s.S112	X18S_Yell.July18.Site1t.S113	X18S_Yell.July18.Site1v.S117	X18S_Yell.July18.Site1w.S118	X18S_Yell.July18.Site1y.S120	X18S_Yell.July18.Site1z.S129	X18S_Yell.July18.Site5L.S109	X18S_Yell.July18.Site5a.S87	X18S_Yell.July18.Site5aa.S132	X18S_Yell.July18.Site5b.S88	X18S_Yell.July18.Site5bb.S133	X18S_Yell.July18.Site5c.S89	X18S_Yell.July18.Site5cc.S134	X18S_Yell.July18.Site5e.S95	X18S_Yell.July18.Site5ee.S136	X18S_Yell.July18.Site5f.S96	X18S_Yell.July18.Site5ff.S137	X18S_Yell.July18.Site5h.S98	X18S_Yell.July18.Site5k.S108	X18S_Yell.July18.Site5m.S110	X18S_Yell.July18.Site5n.S115	X18S_Yell.July18.Site5o.S116	X18S_Yell.July18.Site5p.S121	X18S_Yell.July18.Site5q.S122	X18S_Yell.July18.Site5r.S123	X18S_Yell.July18.Site5s.S124	X18S_Yell.July18.Site5t.S125	X18S_Yell.July18.Site5u.S126	X18S_Yell.July18.Site5v.S127	X18S_Yell.July18.Site5z.S131	X18S_Yell.July18.Site1ee.S142	X18S_Yell.July18.Site5J.S107	X18S_Yell.July18.Site5g.S97	X18S_Yell.July18.Site5w.S128
Eukaryota;Acanthocephala;Palaeacanthocephala;NA;;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Branchiobdellida;Branchiobdellidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Branchiobdellida;Branchiobdellidae;Xironogiton;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Lumbricidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Lumbricidae;Octolasion;Dendrobaena clujensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Megascolecidae;Amynthas;	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;NA;;	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	3	0	2	0	3	4	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	10	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Naididae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Naididae;Tubifex;Tubifex tubifex	0	0	0	4	1	5	3	2	3	6	0	21	4	3	0	1	2	1	2	5	4	4	2	2	6	3	8	1	3	136	3	113	0	127	104	1	91	6	10	1	1	107	1	1	2	178	4	0	0	0	97	0	0	0	0
Eukaryota;Annelida;Clitellata;Hirudinida;Hirudinidae;Oxyptychus;Oxyptychus braziliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;NA;;NA;	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	4	0	4	5	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0
Eukaryota;Annelida;NA;;NA;;	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	148	0	127	0	151	140	0	4	1	1	0	0	112	1	0	0	1	0	0	0	0	135	0	0	0	0
Eukaryota;Annelida;NA;Myzostomida;Myzostomatidae;Myzostoma;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;Capitella capitata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;Capitella sp. FP-2009	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
